CustomerId,Gender,Age,CreditScore,EstimatedSalary,HasCrCard,Exited
15634602,Female,42,619,101348.88,1,1
15647311,Female,41,608,112542.58,0,0
15619304,Female,42,502,113931.57,1,1
15701354,Female,39,699,93826.63,0,0
15737888,Female,43,850,79084.1,1,0
15574012,Male,44,645,149756.71,1,1
15592531,Male,50,822,10062.8,1,0
15656148,Female,29,376,119346.88,1,1
15792365,Male,44,501,74940.5,0,0
15592389,Male,27,684,71725.73,1,0
15767821,Male,31,528,80181.12,0,0
15737173,Male,24,497,76390.01,1,0
15632264,Female,34,476,26260.98,1,0
15691483,Female,25,549,190857.79,0,0
15600882,Female,35,635,65951.65,1,0
15643966,Male,45,616,64327.26,0,0
15737452,Male,58,653,5097.67,1,1
15788218,Female,24,549,14406.41,1,0
15661507,Male,45,587,158684.81,0,0
15568982,Female,24,726,54724.03,1,0
15577657,Male,41,732,170886.17,1,0
15597945,Female,32,636,138555.46,1,0
15699309,Female,38,510,118913.53,1,1
15725737,Male,46,669,8487.75,0,0
15625047,Female,38,846,187616.16,1,0
15738191,Male,25,577,124508.29,0,0
15736816,Male,36,756,170041.95,1,0
15700772,Male,44,571,38433.35,0,0
15728693,Female,43,574,100187.43,1,0
15656300,Male,29,411,53483.21,1,0
15589475,Female,39,591,140469.38,1,1
15706552,Male,36,533,156731.91,0,0
15750181,Male,41,553,81898.81,0,0
15659428,Female,42,520,34410.55,1,0
15732963,Female,29,722,142033.07,1,0
15794171,Female,45,475,27822.99,1,1
15788448,Male,31,490,114066.77,0,0
15729599,Male,33,804,98453.45,0,0
15717426,Male,36,850,40812.9,1,0
15585768,Male,41,582,178074.04,0,0
15619360,Male,40,472,70154.22,1,0
15738148,Female,51,465,181297.65,0,1
15687946,Female,61,556,94153.83,1,0
15755196,Female,49,834,194365.76,0,1
15684171,Female,61,660,158338.39,1,0
15754849,Female,32,776,126517.46,1,0
15602280,Female,27,829,119708.21,1,1
15771573,Female,39,637,117622.8,1,1
15766205,Male,38,550,90878.13,0,0
15771873,Female,37,776,194099.12,1,0
15616550,Male,44,698,198059.16,1,0
15768193,Male,36,585,86424.57,0,0
15683553,Female,33,788,116978.19,0,0
15702298,Male,41,655,164040.94,0,1
15569590,Male,42,601,40014.76,1,1
15760861,Male,43,619,113410.49,1,0
15630053,Male,45,656,87107.57,1,0
15647091,Male,19,725,45613.75,0,0
15623944,Female,66,511,1643.11,1,1
15804771,Male,51,614,46775.28,1,0
15651280,Male,35,742,84509.57,0,0
15773469,Female,27,687,126494.82,0,0
15702014,Male,33,555,178798.13,0,0
15751208,Male,56,684,99398.36,1,0
15592461,Male,26,603,92840.67,1,0
15789484,Female,36,751,27758.36,1,0
15696061,Female,34,581,110431.51,1,0
15641582,Male,43,735,196673.28,1,0
15638424,Female,35,661,113656.85,0,0
15755648,Female,21,675,18203.0,1,0
15703793,Male,58,738,28373.86,1,1
15620344,Male,29,813,33953.87,1,0
15812518,Female,37,657,44203.55,0,0
15779052,Female,25,604,58426.81,1,0
15770811,Male,36,519,145562.4,0,0
15780961,Female,21,735,22388.0,1,0
15614049,Male,55,664,139161.64,1,0
15662085,Female,32,678,148210.64,1,0
15575185,Male,33,757,194239.63,0,0
15803136,Female,41,416,98301.61,1,0
15706021,Female,34,665,171413.66,0,0
15663706,Female,32,777,136458.19,1,1
15641732,Female,36,543,26019.59,0,0
15701164,Female,34,506,159235.29,1,0
15738751,Female,46,493,1907.66,1,0
15805254,Female,75,652,114675.75,1,0
15762418,Male,22,750,128643.35,1,1
15625759,Male,30,729,151869.35,1,0
15622897,Female,46,646,93251.42,1,1
15767954,Female,28,635,156791.36,1,0
15757535,Female,44,647,174205.22,1,1
15731511,Male,45,808,147132.46,1,0
15809248,Female,36,524,109614.57,1,0
15640635,Male,29,769,172290.61,1,0
15676966,Male,42,730,85982.47,0,0
15699461,Male,35,515,121277.78,0,0
15738721,Male,41,773,64595.25,0,0
15693683,Male,29,814,197276.13,1,0
15604348,Male,22,710,99645.04,0,0
15633059,Male,34,413,6534.18,0,0
15808582,Female,40,665,161848.03,1,0
15743192,Female,44,623,167162.43,0,0
15580146,Male,31,738,41970.72,1,0
15776605,Male,36,528,60536.56,1,0
15804919,Female,65,670,177655.68,1,1
15613854,Female,46,622,30984.59,1,1
15599195,Male,32,582,10054.53,1,0
15812878,Female,36,785,36976.52,0,0
15602312,Male,33,605,71862.79,0,0
15744689,Male,35,479,99449.86,1,1
15803526,Male,30,685,63082.88,0,0
15665790,Male,39,538,27231.26,1,0
